<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.03	15:36:00	122670	122810	122655	122780	37732	147338	5
2024.06.03	15:39:00	122780	122785	122720	122755	17029	68365	5
2024.06.03	15:42:00	122750	122760	122565	122575	31928	138139	5
2024.06.03	15:45:00	122575	122650	122565	122630	16965	67666	5
2024.06.03	15:48:00	122630	122655	122595	122610	11109	44432	5
2024.06.03	15:51:00	122615	122645	122585	122615	10115	38730	5
2024.06.03	15:54:00	122615	122655	122600	122625	9454	37686	5
2024.06.03	15:57:00	122625	122670	122615	122650	11275	46162	5
2024.06.03	16:00:00	122655	122720	122635	122705	17657	72831	5
2024.06.03	16:03:00	122705	122715	122595	122605	18765	73813	5
2024.06.03	16:06:00	122600	122640	122580	122610	12608	48376	5
2024.06.03	16:09:00	122610	122650	122580	122620	11234	45309	5
2024.06.03	16:12:00	122615	122665	122610	122645	8146	31454	5
2024.06.03	16:15:00	122645	122650	122570	122610	13212	56392	5
2024.06.03	16:18:00	122610	122615	122560	122580	10225	39458	5
2024.06.03	16:21:00	122580	122595	122525	122570	14714	60230	5
2024.06.03	16:24:00	122570	122605	122560	122570	9710	37669	5
2024.06.03	16:27:00	122570	122580	122520	122535	10327	38085	5
2024.06.03	16:30:00	122540	122555	122490	122515	16379	71288	5
2024.06.03	16:33:00	122510	122540	122495	122515	8035	30277	5
2024.06.03	16:36:00	122515	122520	122480	122505	9693	37624	5
2024.06.03	16:39:00	122505	122555	122495	122530	10693	45922	5
2024.06.03	16:42:00	122535	122580	122500	122510	14944	62907	5
2024.06.03	16:45:00	122510	122545	122505	122510	7835	34445	5
2024.06.03	16:48:00	122510	122560	122495	122520	10838	46780	5
2024.06.03	16:51:00	122520	122550	122500	122510	9447	46610	5
2024.06.03	16:54:00	122510	122530	122390	122395	22896	96389	5
2024.06.03	16:57:00	122400	122400	122300	122365	26666	119378	5
2024.06.03	17:00:00	122360	122370	122300	122335	14406	60402	5
2024.06.03	17:03:00	122330	122340	122280	122295	9712	39687	5
2024.06.03	17:06:00	122295	122350	122290	122335	7890	35923	5
2024.06.03	17:09:00	122330	122360	122330	122345	7250	30457	5
2024.06.03	17:12:00	122345	122345	122315	122330	5202	21201	5
2024.06.03	17:15:00	122330	122355	122305	122310	5644	25592	5
2024.06.03	17:18:00	122305	122310	122250	122255	11515	51613	5
2024.06.03	17:21:00	122250	122270	122220	122225	9225	42689	5
2024.06.03	17:24:00	122225	122230	122195	122220	8034	34906	5
2024.06.03	17:27:00	122215	122235	122205	122225	5249	24010	5
2024.06.03	17:30:00	122225	122245	122185	122240	9284	41447	5
2024.06.03	17:33:00	122245	122255	122200	122210	5648	22738	5
2024.06.03	17:36:00	122205	122220	122155	122185	9143	40235	5
2024.06.03	17:39:00	122185	122195	122125	122140	8900	38657	5
2024.06.03	17:42:00	122140	122160	122125	122155	4618	15929	5
2024.06.03	17:45:00	122150	122195	122135	122175	6797	27456	5
2024.06.03	17:48:00	122180	122200	122165	122195	5031	19683	5
2024.06.03	17:51:00	122200	122210	122185	122195	3928	14398	5
2024.06.03	17:54:00	122195	122195	122145	122165	4033	14942	5
2024.06.03	17:57:00	122155	122205	122150	122190	4573	16663	5
2024.06.03	18:00:00	122185	122190	122120	122120	7125	21556	5
2024.06.03	18:03:00	122125	122155	122120	122140	4175	9845	5
2024.06.03	18:06:00	122140	122155	122130	122140	2114	4804	5
2024.06.03	18:09:00	122145	122145	122075	122090	6653	18153	5
2024.06.03	18:12:00	122085	122095	122020	122045	8640	23334	5
2024.06.03	18:15:00	122045	122055	121970	122045	11657	27159	5
2024.06.03	18:18:00	122045	122085	122010	122075	5092	13802	5
2024.06.03	18:21:00	122075	122090	121995	122015	2135	9215	5
